name,location__city,location__coordinates,categories__001,bio__summary,bio__birthdate,bio__deathdate
XV,Wichita,"-97.1931106, 37.6462903",rapper,"Donavan LaMond Johnson (born July 9, 1985) better known by his stage name XV is an American rapper, singer and songwriter from Wichita, Kansas.",7/9/85,null
Rich Boy,Mobile,"-88.0629402, 30.7025756",rapper,"Marece Benjamin Richards (born September 2, 1983), better known by his stage name Rich Boy, is an American rapper from Mobile, Alabama. He is best known for the hit single ""Throw Some D's"". His self-titled debut album was released in early 2007. ",9/2/83,null
Dayton Family,Flint,"-83.7175227, 43.0385895",group,"The Dayton Family is an American hip hop group from Flint, Michigan. The group is composed of Ira ""Bootleg"" Dorsey, Raheen ""Shoestring"" Peterson and Matt ""Backstabba"" Hinkle.",null,null
Death Grips,Sacremento,"-121.486304, 38.585906",group,"Death Grips is an American experimental hip hop band from Sacramento, California, formed in 2010. The group consists of vocalist MC Ride, drummer/producer Zach Hill, and keyboardist/producer/recording engineer Andy Morin.",null,null
Lemdi & Moax,Val Maubuée,"2.6191079, 48.8405347",group,Lemdi & Moax are two MC from Val Maubuée. They are member of the Val Mobb Industries crew.,null,null
Bastos,Chelles,"2.58698, 48.8799858",rapper,Bastos is French rapper from Chelles (Seine et Marne).,null,null
O'Rosko Raricim,Meaux,"2.8932185, 48.9479458",rapper,O'Rosko Raricim born in 1978 in Congo. Is a french rapper from Meaux (Seine et Marne). He was a member of the Ghetto Fabulous Gang.,null,null
Mystik,Meaux,"2.8807057, 48.9570632",rapper,Mystik born Ghislain Loussingui Diabaka in 1978 at Pointe-Noire (Congo). Is a french rapper from Meaux (Seine et Marne). He was a member of the Bisso Na Bisso group.,null,null
Lil Kim,Brooklyn,"-73.927452, 40.682434",rapper,"Kimberly Denise Jones (born July 11, 1974), known professionally as Lil' Kim, is an American rapper, singer born and raised in Brooklyn, New York.",7/11/74,null
Ciara,Atlanta,"-84.402000, 33.556780",singer,"Ciara Princess Harris is an American singer, songwriter, dancer, and model. Born in Austin, Texas, she traveled around the world during her childhood, eventually moving to Atlanta, Georgia where she joined the girl group Hearsay.",10/25/85,null
Boulox,Boulogne-Billancourt,"2.233160, 48.829692",rapper,"Dijibi Diop (Better known has Boulox) was a French rapper from Pont-de-Sèvre (Boulogne-Billancourt, Paris). He was one of the original member of the Mo'vez Lang group, with LIM, Cens Nino, Kaizer and Furax. He passed away in 2016 due to medical issues.",null,null
Tierra Whack,Philadelphia,"-74.974393, 40.082816",rapper,"Tierra Helena Whack (born August 11, 1995) is an American rapper, singer, and songwriter. She originally performed as ""Dizzle Dizz"" as a teenager, but later on reverted to her birth name in 2017.",8/11/95,null
Bushwick Bill,New York,"-73.922310, 40.705489",rapper,"Richard Stephen Shaw (December 8, 1966 – June 9, 2019) was a Jamaican-American rapper and record producer better known by his stage name Bushwick Bill. He was best known as a member of the pioneering Texas hip hop group Geto Boys, a group he originally joined as a dancer in 1986 as Little Billy.",12/8/66,6/9/19
Pharrell Williams,Virginia Beach,"-76.127778, 36.845",producer / dj,"Pharrell Lanscilo Williams (born April 5, 1973) is an American rapper, singer, songwriter, record producer, entrepreneur, and fashion designer from Virginia Beach, Virginia. Williams and Chad Hugo comprise the record production duo The Neptunes, producing hip hop and R&B music.",4/5/73,null
David Banner,Jackson,"-90.224444, 32.305833",rapper,"Lavell William Crump (born April 11, 1974), known professionally as David Banner, is an American rapper, record producer, actor, activist, and philanthropist from Jackson, Mississippi.\r\n\r\n",4/11/74,null
Soso Maness,Marseille,"5.391184, 43.329001",rapper,"Soso Maness is a french Rapper from Font Vert, Marseille. ",null,null
Peezy,Detroit,"-83.031274, 42.372909",rapper,"Peezy is an American Rapper from Detroit Michigan born on November 5, 1991. He is a member of the Team Eastside crew.",11/5/91,null
Tyga,Los Angeles,"-118.311901, 33.896456",rapper,"Micheal Ray Stevenson (born November 19, 1989), known by his stage name Tyga (a backronym for Thank you God always), is an American rapper, songwriter, singer, actor and television personality from Gardena, California.",11/19/89,null
Md Beddah,Vratsa,"23.555322, 43.207068",rapper,"Deyan Minchev better known by his stage name Md Beddah, is a Bulgarian  rapper and composer from Vratsa born in 1988. He is a member of the XPRSN crew.",null,null
Roxanne Shante,New York,"-73.943925, 40.753746",rapper,"Roxanne Shante (born Lolita Shanté Gooden; November 9, 1969) is an American hip hop musician and rapper. Born and raised in the Queensbridge Projects of Queens, New York City, Shante first gained attention through the Roxanne Wars and was part of the Juice Crew.",11/9/69,null
Ms Tee,New Orleans,"-90.077871, 29.970989",rapper,"Trishell Williams better known by his stage name Ms Tee, is an american rapper from Treme, New Orleans. She was the first female signature of Cash Money.",null,null
Luniz,Oakland,"-122.168786, 37.734385",group,"Luniz (formerly the LuniTunes) is a american duo from Oakland, California, formed by Yukmouth and Numskull. The group is best known for the internationally successful hit ""I Got 5 on It"". ",null,null
Da Brat,Chicago,"-87.676095, 41.884104",rapper,"Shawntae Harris (born April 14, 1974), better known by her stage name Da Brat, is an American rapper and actress from Chicago, Illinois. ",4/14/74,null
Noname,Chicago,"-87.623895, 41.811987",rapper,"Fatimah Nyeema Warner (born September 18, 1991), better known by her stage name Noname, is an American rapper, poet and record producer from  Bronzeville, Chicago,  Illinois.",9/18/91,null
Cellyru,Sacramento,"-121.447017, 38.570506",rapper,"Cellyru is an american rapper from Sacramento, California. He is a member of the Mozzy Records label.\r\n",null,null
Dangerous Crew,Bay Area,"-122.276214, 37.831781",group,"The Dangerous Crew was an American hip hop band formed by Oakland, California rapper and producer Todd ""Too Short"" Shaw. The Dangerous Crew consisted of both live musicians and rappers: Stuart ""Shorty B"" Jordan (bass, guitar, drums), Ramone ""Pee-Wee"" Gooden (keyboards, drums, guitar), Anthony ""Ant"" Banks (keyboards, drum programming, mixing), Sean G (live drums), and rappers Too Short, Mhisani ""Goldy"" Miller, FM Blue, Dangerous Dame, Russell ""Rappin' Ron"" Royster, Ant Diddley Dog, Robert ""Spice 1"" Green Jr. and Damani ""Father Dom"" Khaleel.",null,null
Seagram,Oakland,"-122.185518, 37.757858",rapper,"Seagram Miller (April 13, 1970 – July 31, 1996) was an American rapper from Oakland, California. Miller was shot to death in a drive-by shooting on July 31, 1996. ",4/13/70,7/31/96
Kilo G,New Orleans,"-90.039491, 29.942291",rapper,"Born Robert L. Johnson (August 28, 1976, 15th of January, 1997), Kilo G was an american rapper from New Orlean, Louisiana. He was a member of the early Cash Money record label. The 15th of January, 1997, Kilo-G was shot to death. ",8/28/76,null
Lil Blood,Oakland,"-122.290202, 37.816099",rapper,"Lil Blood, is an american rapper from West Oakland. ",null,null
J Stallin,Bay Area,"-122.290790, 37.808401",rapper,"Jovan Smith (born January 25, 1983), better known by his stage name J. Stalin (also stylized as J Stalin or J-Stalin), is a rapper from the Cypress Village housing projects in West Oakland.",1/25/83,null
