Lyrics,Count
rebel,3
bang!,3
macked,3
wars,3
tasty,3
OP,3
T-Pain,3
ya?,3
Symbolizes,3
Sorry,3
downtime,3
"Do-do-do,",3
Cristal,3
"vary,",3
people's,3
"what?,",3
bases,3
locos,3
Luther,3
poke,3
Dreamin',3
Major,3
"smiling,",3
"tray,",3
"(ohhh,",3
izzon,3
seezell,3
guidance,3
waxed,3
"sell,",3
"purse,",3
diluted,3
winners,3
Hummer,3
coz,3
"stroll,",3
hearse,3
Aiy,3
"noise,",3
Fall,3
Water,3
hollered,3
"Shucks,",3
'gnac,3
"Fine,",3
swerving,3
Washed,3
guees,3
"might,",3
soulja,3
hurricane,3
crack-a-lackin,3
(bitches),3
gotta',3
choosin',3
nah.,3
girls),3
Cali),3
"ashes,",3
"pieces,",3
ugliest,3
tho,3
bleed,3
producer,3
doe-doe,3
tired.,3
"Today,",3
"(rough,",3
hopper,3
mistakes,3
retarded,3
25,3
"Rat-tat-tat-tat,",3
causing,3
general,3
"Jones,",3
(wanna,3
Rose,3
"anybody,",3
letters,3
"coupe,",3
That'd,3
"L-B-C,",3
Shotgun,3
stray,3
"Aiiyo,",3
lo-lo's,3
Bush,3
devious,3
(dry,3
Kicking,3
"summer,",3
"charts,",3
riots,3
"health,",3
"approach,",3
Layin,3
"Gs,",3
Nah!,3
"Uhhh,",3
Avec,3
peanuts,3
Pound?,3
right!),3
mindless,3
Tennessee,3
[Ginuwine],3
bloods,3
"D-O-double,",3
hugging,3
dedication,3
"(whatup,",3
tay,3
gangs,3
"bucks,",3
Lieutenant,3
tempo,3
"dare,",3
morning),3
Joan,3
Beatz,3
Banks,3
"earth,",3
jerk,3
writing,3
"dressed,",3
Strait,3
(Sick,3
conscience,3
bold,3
now!,3
(Lil,3
coppers,3
"Charlie,",3
(Something,3
[Mac],3
"nervous,",3
"Over,",3
Survive,3
groovin,3
aways,3
Bed-Stuy),3
spouse,3
Fish,3
"g,",3
(There's,3
DR,3
tints,3
mike,3
Rough,3
"peas,",3
Taa-Dow,3
"prayin',",3
alcohol,3
"""Nigga,",3
drive-bys,3
Narcotics,3
Ciroc,3
mumble,3
"why'all,",3
her),3
usher,3
fully,3
"Glock,",3
"Roll,",3
"We,",3
"taken,",3
mista,3
Into,3
(Walkin',3
Cubans,3
creeps,3
P?,3
'came,3
rotation,3
placed,3
engaged,3
Snopp,3
Conversation,3
Balling,3
guest,3
heathen,3
inta,3
buss,3
stacked,3
imperial,3
"Pump,",3
nots,3
"Smokin',",3
Scrappy-do,3
Invest,3
"Yeahhh,",3
weave,3
Funkin',3
Suckas,3
DA's,3
sucked,3
"(yeah),",3
kiddin,3
Gu-Gucci,3
mill,3
"songs,",3
back!,3
pimpin's,3
sixty-four,3
dap,3
Bury,3
Yeah),3
night's,3
"hah,",3
"NYA,",3
Willie,3
cheaper,3
back-to-back,3
quickly,3
"Gangstaz,",3
overheard,3
Bourbons,3
Chilling,3
McCoys,3
Sha,3
(Better,3
cruising,3
scrape,3
Deuces,3
"powder,",3
Western,3
cast,3
background),3
bullshittin,3
favourite,3
tearin,3
measure,3
laughin,3
goldie,3
"break-up,",3
"dealt,",3
recent,3
mo'f*ckers,3
Knowing,3
relations,3
0.38,3
contract,3
T-Bo,3
if?,3
gotham,3
(Daz):,3
"20,000",3
punched,3
"hos,",3
"pleasures,",3
finds,3
microphones,3
positive,3
"Technique,",3
dog?,3
D-P-G,3
Heah,3
relentless,3
contrary,3
Por,3
"stack,",3
off.,3
cough,3
need),3
unbelievable,3
no!),3
waters,3
caravan,3
"Ughh,",3
horny,3
need?),3
"3,",3
jingle,3
Bell,3
(ah,3
fierce,3
"supplies,",3
Also,3
[All],3
Mom's,3
a.k.a.,3
dice?,3
"fortune,",3
pinch,3
brief,3
bong,3
hype,3
"mansions,",3
Bun,3
foggy,3
Sellin',3
mamma,3
Bangin,3
Ayy,3
Killa,3
offer,3
crime?,3
overlooked,3
name!?,3
Rover,3
bookoo,3
drifting,3
"doing,",3
perceive,3
patiently,3
Beamer,3
"blaze,",3
"Mid-West,",3
hood?,3
newbies,3
[Big,3
maids,3
Scandalous,3
Bright,3
survivin,3
deceptive,3
swell,3
they've,3
van,3
tan,3
"rob,",3
"great,",3
Akon],3
"problems,",3
production,3
choir,3
mm,3
Nick,3
"spittin',",3
win;,3
(Got,3
worries,3
Dog?),3
"bike,",3
twinkle,3
clackin,3
Dev,3
"wage,",3
Insane,3
dimension,3
Sorta,3
og,3
enjoyed,3
"books,",3
Pacific,3
Manuevin',3
"loved,",3
existence,3
[gun,3
drift,3
'Bouta,3
stop!),3
robberies,3
bootylicious,3
"Killin',",3
members,3
(cookies),3
(back,3
Mail,3
go-to,3
Talkin,3
dyke,3
embarrassed,3
[Nelly],3
fienin’,3
faced,3
messin',3
West-side,3
reppin',3
Bizzow,3
Mean,3
session,3
"everythang,",3
fa',3
condition,3
mom's,3
solid,3
beefing,3
"fiction,",3
prowl,3
"Nina,",3
D-O-Double-G,3
(Check),3
bashin',3
Succeedin',3
dropin,3
"exquisite,",3
struggling,3
"sign,",3
Busta,3
"bail,",3
Lettin',3
Misbehave,3
ash,3
saggin,3
covers,3
skippin',3
anytime,3
again!,3
"Konvict,",3
fooling,3
elevation,3
(Make,3
handful,3
fakes,3
DeNiro,3
sun),3
viciously,3
Bailin',3
"mob,",3
peeping,3
Silver,3
"'64,",3
feelin'?,3
visual,3
"bit,",3
forte,3
settin',3
closely,3
"d-o-dub',",3
plots,3
demo,3
fearless,3
thrill,3
ozones,3
f***in,3
"""Niggas",3
"hectic,",3
rackets,3
spaced,3
sentence,3
honors,3
there.,3
ego,3
"tails,",3
--,3
"Bed-Stuy,",3
trayz,3
mattress,3
slight,3
ooze,3
"pretty,",3
Clap,3
(Hot,3
Mirror,3
hustlaz,3
"double-D,",3
Satisfiction,3
"story,",3
go...,3
grows,3
whores,3
strung,3
"(ride,",3
Good),3
"Pussy,",3
jaguar,3
Tech,3
?),3
Marshall,3
"Nephew,",3
hollows,3
"video,",3
Troutman),3
"Spokane,",3
swallowed,3
smaller,3
tradition,3
drops.,3
Ty's,3
"clue,",3
pegan,3
(tell,3
Bentley,3
must've,3
"unused,",3
hotels,3
F*cker},3
weighs,3
"up,or",3
Wintertime,3
geese,3
"models,",3
trey,3
bubblegum,3
groupie),3
"Corleone,",3
loc?,3
"doctor,",3
free!,3
Ahh,3
billboards,3
swangin',3
"hatin',",3
"non-stop,",3
"soft,",3
Pulled,3
Huggy,3
gates,3
doggz,3
(Shut,3
Country,3
dumpin,3
"Bentley,",3
DAZ,3
lot.,3
Feelin,3
urself,3
low-lows,3
painting,3
Kiki,3
fm,3
hahaha,3
Verbally,3
x4,3
foundation,3
Kokane,3
us),3
"technique,",3
wigglin',3
Bag,3
slam.,3
existed,3
cradle,3
Hotter,3
"creepin',",3
smashing,3
gunfire,3
warm,3
drivers,3
vamanos,3
"tie,",3
"cheetah,",3
perfection,3
Mister,3
"brakes,",3
Charles,3
stripper,3
"trust,",3
"poles,",3
blowed,3
Sluts,3
notorious,3
laxed.,3
deceased,3
it’s,3
lose?,3
gauge,3
School,3
guerrillas,3
Aron?,3
bionic,3
affair,3
undeniable,3
amaze,3
"tale,",3
Pimped,3
apprentice,3
"nonsense,",3
27,3
what?!,3
millimeters,3
Laugh,3
"walkin',",3
sawed,3
somethin'?,3
Williams,3
volcanic,3
"many,",3
n*gga,3
Hills,3
"hated,",3
"blunts,",3
directions,3
Doom.,3
Xzibit?),3
Sinking,3
calibre,3
(baby),3
"smooth,",3
visiting,3
(Makin',3
him?,3
milla,3
"clout,",3
science,3
ringing,3
finding,3
Has,3
"""Two!""",3
Doggz'll,3
cakes,3
2getha,3
(Mind,3
Press,3
defense,3
below,3
"Boss,",3
perform,3
jar,3
vanish,3
thirsty,3
stealin,3
"Players,",3
Wrong,3
Kringle,3
cudi,3
forever),3
don,3
superstars,3
bigg,3
porno,3
thigh,3
seatbelt,3
punchin',3
ki,3
lexus,3
Beverly,3
repping,3
stamps,3
"7:00,",3
"X-rated,",3
"wintertime,",3
drawers,3
"loaded,",3
Glocks,3
La-da-da-da-dah,3
peep's,3
intellectual,3
Knew,3
Eastsidaz),3
Creeping,3
tip.,3
"hating,",3
Lean,3
(Welcome,3
"survive,",3
"perfected,",3
"cat,",3
(F*cker){Mother,3
Singer],3
Yet,3
Flashin',3
"Style,",3
Bought,3
fry,3
Oz,3
bomb-a-rama,3
heard),3
Oprah,3
"asked,",3
sell-to-dem,3
"fingers,",3
huddle,3
bombest,3
Chi,3
(To,3
Short,3
ellas,3
liver,3
whoop,3
Barry,3
[Why,3
Somehow,3
critics,3
"Chevy,",3
"mister,",3
"shizzle,",3
ram,3
candy!,3
"list,",3
blazin,3
yellin?,3
"degrees,",3
cavi,3
this...,3
chasin,3
kidnappin',3
flyin,3
"(sexy,",3
jus,3
"Holla,",3
log,3
disguise,3
Puffin,3
"Atlanta,",3
"bling,",3
jams,3
"profit,",3
dub?,3
foremost,3
"luvin',",3
don'ts,3
mil',3
"reincarnated,",3
lodi,3
marked,3
"aah,",3
Whattup?,3
nann,3
Besides,3
Carolina,3
Met,3
tube,3
[2,3
twin,3
guilt,3
–,3
wishes,3
Underwater,3
do-do-do,3
Champagne,3
flowers,3
"""Murder",3
Ayo,3
"hotel,",3
is?,3
"music,",3
"cities,",3
Dawn,3
Cagney,3
way?,3
"rapping,",3
wantin’,3
d'ooooh!,3
"(girl),",3
(uh-uh),3
Mixed,3
Dilla,3
(won't,3
Squad,3
blooded,3
fours,3
chil'ren,3
pid-in,3
can’t,3
sleepin,3
guessin',3
penetrate,3
prints,3
pose),3
"bleed,",3
berries,3
greater,3
mud,3
shadow,3
Heavy,3
counted,3
f*ck's,3
leased,3
grillz,3
smoke's,3
pages,3
nine-eight,3
"holler,",3
brother's,3
Screw,3
Were,3
Wu-Tang,3
Seagram's,3
tags,3
"patio,",3
Jazz,3
buzzin',3
stores,3
decline,3
8th,3
Gotham,3
boo's,3
Loving,3
upsetting,3
"listens,",3
hataz,3
Ben,3
Allstars,3
Givin,3
uhhh,3
"fam,",3
(shut,3
[Jadakiss],3
flu,3
intro,3
strippers,3
Spinning,3
Mm,3
'ho,3
Twenty-plus,3
dro',3
dancefloor,3
faggot,3
nympho,3
Monkey,3
"terrorist,",3
words),3
hundreds,3
cultivating,3
gradually,3
really?,3
"""Ignore""",3
amazement,3
apparatus,3
'G',3
facade,3
technicality,3
banished,3
drink?,3
"N.O,",3
brew,3
Approach,3
led,3
swim!,3
"(Yeah),",3
"Backwoods,",3
Ate,3
outside),3
Sliding,3
"Doggs,",3
(hit,3
Central),3
doja),3
fists,3
(let,3
"Patron,",3
potes,3
"broads,",3
YOU,3
mostly,3
the...,3
Nasty,3
"papers,",3
tonight?,3
Scrappy,3
[Kurupt,3
withstand,3
he),3
grip.,3
"hours,",3
NFL,3
"Colion,",3
new),3
Twistin',3
dizzle,3
up.....,3
fresh.,3
gut,3
residence,3
washed,3
"slashin',",3
Gangstafied,3
gentlemen,3
enuff,3
rainbow,3
aid,3
Priest,3
peepin',3
beepin',3
(late,3
Vanessa,3
(ooh),3
stages,3
Cocked,3
(pop,3
"DoggHouse,",3
id,3
Drugs,3
Birds,3
beeyatch!,3
Power,3
Booted,3
instant,3
sum,3
kokane,3
"Diggin',",3
cheek,3
"balling,",3
"Cause,",3
kidnaps,3
wha,3
casino,3
coverin',3
[Hook:],3
"cool),",3
fearin',3
"genuine,",3
"Nibiru,",3
habits,3
[Scratches],3
"remember,",3
squirrel,3
Coolio,3
"wealth,",3
"faith,",3
Limp,3
"""Yeah,",3
Underground,3
simplistic,3
realism,3
bizzack,3
"foes,",3
"Haha,",3
Puttin,3
dick-tease!,3
santa,3
clearer,3
"think,",3
day!),3
bombed,3
Aston,3
stiff,3
wines,3
pullin,3
Kickin,3
Outfits,3
toes),3
"(Shit,",3
Isn't,3
Rolex,3
"""Yo,",3
spellin',3
pistol's,3
"D-O,",3
Mi,3
it:,3
fault),3
Wish,3
Plug,3
office,3
"30,",3
herself,3
"what?""",3
Night,3
Wait!,3
"flossing,",3
Against,3
D-O-dub,3
explode,3
Ford,3
"ah,",3
bang-bang,3
Shaggy,3
#NAME?,3
Missing,3
actions,3
"meet,",3
(everywhere,3
pussy's,3
Chips,3
skins,3
(Uh-huh),3
g-string,3
scoot,3
soprano,3
"'dro,",3
Hollin',3
"thugs,",3
"Cali,",3
northside,3
homey's,3
"chillers,",3
slippery,3
rhymes),3
Japan,3
Mel,3
Raiders,3
bomb-ass,3
motherf***in,3
"deuce,",3
Iraq,3
whassup?,3
incredible,3
quote,3
strive,3
snitched,3
Kelly],3
"tender,",3
(repeat,3
border,3
"blink,",3
Divide,3
"wizard,",3
vivrant,3
Bowin',3
nineteen-motherf*ckin'-ninety-three,3
dutch,3
freak?,3
Slangin,3
emergency,3
"drift,",3
E.,3
"""Who",3
grandmother,3
"Tanks,",3
venu,3
(Yea,3
niggas?,3
lames,3
impress,3
Ching-a-ling,3
MCs,3
mr.,3
"recognize,",3
"Ex-deala,",3
maxing,3
Ace,3
marinate,3
throwback,3
"pad,",3
D.P.,3
packin,3
modest,3
Packed,3
him),3
there),3
"Dog,",3
duper,3
Chuck,3
"this""",3
"wanted,",3
Spray,3
"be""",3
Moma,3
directed,3
CD's,3
paramedics,3
puzzle,3
Study,3
prankster,3
everywhere),3
Shakin',3
"C-O-M-P-T-O-N,",3
"feelin,",3
"it),",3
(Lil',3
(HEY),3
"shinin',",3
July,3
goodbye),3
"news,",3
toxic,3
"jet,",3
gorgeous,3
"Eye,",3
Oakland,3
JD',3
fronting,3
two-one,3
bunk,3
cover.,3
Collect,3
nipples,3
suppliers,3
spillin',3
fragile,3
shore,3
Konvict,3
Worldwide,3
(Bitch),3
money's,3
(laugh),3
teaching,3
needle,3
(x3),3
qualified,3
strings,3
sour,3
"""Now",3
volume,3
candle,3
goodin',3
hollering,3
(look),3
"hurts,",3
"turn,",3
September,3
excuse,3
"supreme,",3
"(Murder,",3
drums,3
maestro,3
"scratch,",3
Bringin,3
poison,3
holstered,3
Dj,3
dizzles,3
Such,3
sizzle,3
skatin',3
razor,3
advise,3
symbol,3
muthf*ckin,3
"Ugh,",3
Lucianno,3
lovingly,3
Locko,3
"Remember,",3
root,3
patch,3
Ness,3
roastin',3
biology,3
"flaws,",3
fever,3
Jaycee,3
luvly,3
Isley],3
Befo',3
rockstar,3
Lada-di-di-da-da!,3
recline.,3
fatter,3
Understand,3
misbehave,3
"intermission,",3
regulations,3
"entertainer,",3
"(Bed-Stuy,",3
Cry,3
tissue,3
fuel,3
Smith,3
Rowdy,3
"tip,",3
"Yup,",3
Bird's,3
military,3
visualize,3
"shit""",3
"D-town,",3
"Yo..Yo,",3
Runnin,3
tappin',3
"age,",3
"range,",3
presents,3
see'mon,3
(nigga,3
dive,3
athletes,3
"pokin',",3
(Eternal,3
tes,3
21,3
Styles,3
(turn,3
stoplight,3
wigs,3
techniques,3
highest,3
"Don't,",3
ties,3
Caddy,3
Bread,3
"Hm,",3
lace,3
Comin',3
(that's-that's,3
Squeeze,3
"cocaine,",3
Bend,3
Someone's,3
"(Woof,",3
tah,3
"izz-el,",3
"trip""",3
risky,3
shanked,3
'llacs,3
"behind,",3
salary,3
(Watch,3
Fire,3
"dealer,",3
"blessin',",3
"punk,",3
gone),3
paso,3
condo,3
direct,3
disintegrate,3
Eightball,3
Steelers,3
richer,3
4-Mar,3
"C-P-T,",3
down',3
"dozen,",3
Rakim,3
(Father),3
shed,3
Quiver,3
"""ain't",3
C-walkin,3
Room,3
1st,3
Mighty,3
Everybody's,3
shaped,3
"izzl,",3
fragrant,3
Deadly,3
Release,3
onto,3
'way,3
Technique,3
"sippin,",3
G-O-D,3
money?,3
Grey,3
Dance,3
influence,3
(x4),3
Calling,3
recline,3
Cute,3
isn't,3
Putting,3
casting,3
souls,3
Tupac,3
"Uhm,",3
on!,3
li'l,3
hoes?,3
bonafied,3
bout',3
"hide,",3
condoms,3
Huh!,3
ignite,3
them.,3
collect,3
let’s,3
Lion,3
squeezin',3
"freaky,",3
Admit,3
name),3
"tall,",3
"brown,",3
(bout,3
breeds,3
staxxx,3
BG's,3
annual,3
(chorus),3
addict,3
antidote,3
bad?,3
"wit'chu,",3
paved,3
Mutha,3
"One-two,",3
"Unfadeable,",3
hundred-thousand,3
necks,3
Shocker)],3
sniffin',3
several,3
Banner,3
prestigious,3
ey,3
YEAH,3
Tired,3
grin,3
lowride,3
"Reno,",3
"collection,",3
Original,3
"east,",3
Khaki's,3
"Cuz,",3
sturdy,3
writin',3
"sidekick,",3
D.O.C.,3
comparing,3
character,3
(Venice,3
clothing,3
flyin',3
Finest,3
fitting,3
"lying,",3
"Goddamn,",3
(City,3
Dipping,3
"D-A-Z,",3
basis,3
rocks.,3
Real-Deal,3
[Featuring,3
"fakin',",3
(Crazy!),3
D.O.G.'s,3
loss,3
"jets,",3
"""Don't",3
understanding,3
Ludacris,3
ticket,3
I'ma',3
balla,3
Spanish,3
gunnin',3
Razor,3
(lets,3
(4x),3
"Babygirl,",3
Dikembe,3
jobs,3
44,3
Dogg/(Silkk,3
Snatch,3
whoah,3
Loves,3
"up?""",3
disrespecting,3
Raphael,3
cadillac,3
payment,3
Nigga?,3
clack,3
thief,3
Knowledge,3
blowned,3
"6,",3
Cal,3
Doo,3
promos,3
scared),3
mis,3
223,3
(haha),3
t,3
Colt,3
Wizard,3
"queens,",3
Mac],3
"icky,",3
appeal,3
niazz,3
Wash,3
Jessica,3
pane,3
"mentality,",3
agree,3
talked,3
sending,3
"expensive,",3
sensual,3
clowns,3
crook,3
twilight,3
regulated,3
"dress,",3
"bid,",3
California?,3
'phetamines,3
pushin,3
"Shhh,",3
sudden,3
"nobody,",3
"sons,",3
"gurl,",3
"cracked,",3
classes,3
"set-trippin,",3
"'caine,",2
"Food,",2
"prostitute""",2
chronic'ed,2
unplug,2
Non,2
skeezin',2
baller's,2
"hater,",2
too.,2
Ohhhhh,2
stranger,2
"either,",2
clash,2
mafia,2
bitches?,2
"ridaz,",2
thru,2
scarier,2
designer,2
Fresher,2
coop,2
Tonas,2
'4,2
Heart,2
"Kurupt,(Snoop),",2
(gave,2
towards,2
carton,2
freshest,2
pleaser,2
"crews,",2
reinstated,2
D-O-double-G's,2
"Luke,",2
mist,2
stripping,2
[Sylk,2
nelson,2
AMGs,2
Dad,2
*singing*],2
"go-getter,",2
slappin,2
underachievers,2
Dem,2
henn,2
?????,2
"easily,",2
(WHAT?),2
breast,2
feel?,2
spillin,2
mornin),2
[Intro],2
clippin',2
"Eastsidin,",2
faggot!,2
"ferocious,",2
"Eses,",2
day-by-day,2
goodies,2
"Pimpin',",2
"12,",2
home!,2
marijuanna;,2
Strap,2
bottoms,2
jailhouse,2
"commisary,",2
Bay-Bee,2
Al-ways,2
Cassidy),2
"wussup,",2
Troutman,2
priest,2
bedtime,2
stumbled,2
R&G;,2
Villain,2
thugging,2
likin',2
(Bigg,2
"Y'all,",2
dishin',2
"mai,",2
premise,2
(2X),2
"muh,",2
Stashed,2
Sweatin',2
[T-Bo],2
"fight""",2
"homie!""",2
herds,2
Kidnap,2
"D-O-double-gi-zee,",2
print,2
"My,",2
Cease-a-Leo,2
Draft,2
"Trip,",2
ken),2
shooby,2
version,2
blammer,2
phatty,2
mastered,2
"looking,",2
Wreck,2
"""Yo",2
"dippin,",2
"presence,",2
picking,2
"Nedios,",2
divorce,2
"B.I.G.,",2
Test,2
from?,2
punishment,2
Beach!),2
trials,2
nephew.,2
in-Fec-Fectious,2
"hopping,",2
n*gger?,2
senseless,2
respecting,2
"flirtin',",2
Thing,2
(misbehave),2
(I),2
beitch,2
"DAZ,",2
Boot,2
somersault,2
joy!,2
Backwoods,2
pours,2
Valentino,2
GA,2
clique?,2
pharaoh,2
cuties,2
bigidy,2
ca-ca,2
C.,2
"porch,",2
whiteboys,2
gonna',2
whut?,2
everywhere!,2
"low-low,",2
introduced,2
Breakin,2
"interview,",2
Akon,2
despite,2
conversatin',2
different.,2
Fleet,2
"children,",2
"Calle,",2
slow...,2
gauges,2
weekdays,2
reachin',2
lackin,2
"middle,",2
Passed,2
gutters),2
politicians,2
granddaddy,2
Oooooooooooooooh,2
IV,2
(30,2
"meal""",2
1:],2
rumor,2
skated,2
pat-ois,2
"magic,",2
PC,2
Hawk,2
buss'n,2
Floating,2
unwind,2
está,2
dusty,2
anger,2
Italy,2
daughters,2
protecting,2
"color,",2
faze,2
sharper,2
Beans,2
pressurin',2
???little,2
"Bang,",2
bagging,2
"Sayin',",2
glory,2
"needed,",2
antenna,2
Snoopa,2
dizzime,2
convert,2
structures,2
drew,2
dickies,2
anti-spice,2
(bitch!),2
Wipe,2
s-n-double-o-p),2
f*ck!',2
Dedicate,2
someone?,2
(two,2
freeza,2
"Lowlife,",2
periscope,2
Serial,2
Dis,2
breathin,2
hen,2
G-thing,2
backseat,2
"bits,",2
exactamundo,2
Goblin,2
Twin,2
emblem,2
sings,2
Feano,2
Slim's,2
mimosa,2
"crowed,",2
house?,2
"elevate,",2
testing,2
lill,2
Coat,2
DeBille,2
"focus,",2
runny,2
giggle,2
m,2
face!,2
merry,2
buddha,2
Surrounded,2
yang,2
thing!),2
"pump-in,",2
chalkin',2
"walked,",2
hoop,2
timing,2
"tapes,",2
"legs,",2
Bubble,2
"steps,",2
sleepy,2
"""Hey",2
"Pimp,",2
"smoke""",2
"Conscience""",2
"fittest""",2
"looney,",2
"entourage,",2
praying,2
"N-U-T's,",2
desert,2
suspended,2
adventure,2
sick),2
payed),2
"give,",2
"that""",2
virgins,2
"god,",2
slides,2
talk..,2
"""Pacin""",2
picks,2
"board,",2
sharing,2
gaze,2
beotch!,2
Reach,2
Dependin,2
Rhyme,2
Project,2
whipping,2
Smilin',2
"""",2
masterpiece,2
"roller,",2
(Hi,2
"dividing,",2
parts,2
Wrapped,2
patron,2
live-er,2
"thirteen,",2
greyhound,2
strongest,2
cars),2
Luthor,2
Movie,2
lotto,2
pulpit,2
"213,",2
emcee,2
[Pharrell:],2
"Ex-felon,",2
"factor,",2
Flossy,2
assed,2
lap)?,2
poquito,2
gangstafied,2
"Bom,",2
'6-4,2
hugs,2
"pow,",2
niece,2
special),2
bobbing,2
wann't,2
sleeps,2
Stunna,2
pronounce,2
Aerosmith,2
Moved,2
Waking,2
Cus,2
Fancy,2
beata,2
"Day,",2
Barrington,2
ban,2
"collar,",2
palo',2
Hahaha,2
lance,2
"snitch,",2
(smell,2
that.,2
town.,2
snitchin',2
growl,2
"seated,",2
"blackka,",2
"loop,",2
"Saying,",2
facility,2
Holdin,2
prostitution?,2
bo,2
Tírenme,2
Funky,2
roll?,2
Dogg},2
abusers,2
Redman,2
Seville,2
(huh),2
starvin,2
Renee,2
magical,2
"rental,",2
T-H-A-N-G,2
"phony,",2
masters,2
describe,2
this.,2
"Swizz'll,",2
Fourteen,2
Iced,2
sock,2
"""can",2
twitch,2
"911,",2
naturally,2
"Someby,",2
Dodi,2
"""Tha",2
"issues,",2
beat'll,2
(taste,2
Extra,2
grand?,2
"Institutionalized,",2
Nintendo,2
dat),2
Wide),2
govin',2
Janet,2
Busted,2
"(Shake,",2
"cab,",2
"Independent,",2
edible,2
cashew,2
barrels,2
"verse,",2
Hilfiger,2
natural),2
D.P.G's,2
Dana's,2
"bossy,",2
(fresh),2
"hahahaha,",2
shorts,2
alleyway,2
Forgive,2
(silky,2
combat,2
"Magic,",2
wodie,2
"flippin',",2
Bumping,2
"tales,",2
ra,2
"""Damn!""",2
riddles,2
blackout,2
Rico,2
110,2
'Em,2
"switches,",2
"Wow,",2
Ramada,2
Mimosa,2
"talkin,",2
competes,2
"""bitches",2
geek,2
Foggy,2
five's,2
"Naw,",2
fiera,2
la-la,2
teller,2
"smoking,",2
wow),2
"headed,",2
"do,""",2
wack-ass,2
(slow,2
"slowly,",2
Knuckleheads,2
Backstab,2
"People,",2
"IG,",2
bundle,2
"event,",2
Black-Ty,2
Cerritos,2
Saadiq],2
"""well",2
entretengo,2
"attack,",2
blaa-dow,2
shabba-dooba-dee-da-dee,2
rot-ten,2
layers,2
Lowlife,2
some),2
martyrs,2
"winter,",2
"""there's",2
deeply,2
branded,2
hugged,2
works,2
repentance,2
splendid,2
Deuce,2
"perhaps,",2
offended,2
Lyssa,2
twenties,2
pressin',2
ozone,2
T's,2
Kun,2
"""Guilty",2
Karma,2
"Genovese,",2
"ok,",2
searchin',2
kids!,2
"feather,",2
gunnin,2
iTunes,2
(Jeah!),2
do-do,2
5:30,2
"whaaat,",2
Evey,2
twistin,2
"Glock-a,",2
"Killin,",2
exist,2
rival,2
Gangbangin,2
reminiscing,2
Total,2
Gillespie,2
[Break:,2
"warrants,",2
wacked,2
Slausson,2
toward,2
f*ck),2
dub's,2
preachers,2
revelation,2
"mentally,",2
terror,2
mirrors,2
believe),2
f*ckas,2
Snoopy),2
Rubbing,2
"truck,",2
almond,2
Smell),2
Loch,2
ammo,2
hazy,2
criz-ew,2
Hussein,2
restroom,2
(Satisfiction),2
Will.I.Am,2
(ssh!),2
Lovin',2
loced,2
Canary,2
syst',2
Machine.,2
"wrote,",2
vod-ka,2
J'suis,2
thickest,2
skirts,2
"swirl,",2
S.O.D.,2
Frio,2
smoothest,2
biscuits,2
hydraulics,2
why'know?,2
Papers,2
leak,2
"packed,",2
beaten,2
"Clean,",2
Dice,2
lifts,2
there'd,2
flowed,2
intricate,2
it!!,2
Goddamn,2
bludda,2
(HAH),2
GI,2
screwin',2
"Loc'why,",2
itchen,2
(whassup,2
lava,2
min,2
"dancin',",2
defenseless,2
Blew,2
bitching,2
pleasers,2
bonafide,2
Flow),2
pero,2
Belichick,2
Monte,2
crunk,2
paranoid,2
stink,2
Pocket,2
"hearse,",2
"playing,",2
Nines,2
mount,2
"Tracy,",2
mouth-ass,2
Attack,2
"Ryders,",2
knocks,2
seasick,2
Paid,2
(superstars),2
Pickets,2
tanks,2
adrift,2
Bottles,2
"Father,",2
habit,2
guess',2
(Damian,2
"mary,",2
Raw,2
"nicely,",2
hooooooooooooooo,2
Fellas,2
mainly,2
bud's,2
Y2G,2
Moscow,2
(bands),2
La-la-la-la-la-la,2
Bones,2
reputable,2
then!),2
static,2
shifty,2
"BBD,",2
Lou,2
"Cerritos,",2
"(C'mon,",2
Can’t,2
Nas,2
skill,2
squares,2
"clippin,",2
perfect),2
(us),2
lesser,2
Jellyroll,2
united,2
(Hoo,2
Tough,2
"Thugs,",2
plague,2
llama,2
'Specially,2
'Pizznac,2
Tap,2
Heathcliff,2
jackhammer,2
suddenly,2
rong,2
dep,2
measuring,2
(Go,2
relied,2
Aye!,2
99),2
loads,2
wanna),2
fabulous!,2
underwear,2
"originals,",2
"stripes,",2
out'cha,2
are-A,2
Stoney,2
Wastin',2
"Christina,",2
"worry,",2
C.R.E.A.M.,2
"brew,",2
'nough,2
"dreams,",2
motherf*cker!),2
stocking,2
champion,2
Wenches,2
Benjamin,2
hotbox,2
richest,2
pat,2
One],2
Fillin,2
telegram,2
"lip,",2
Boi,2
shoelace,2
"Popping,",2
appear,2
ding,2
tank?,2
"flossin,",2
rang,2
"heartless,",2
hitters,2
hanger,2
premium,2
buttered,2
saline,2
sendin',2
Iceland,2
bitch...,2
Dro,2
Cha-pow!,2
hay,2
"bakas,",2
times?,2
grandfather,2
"happenin'?""",2
funny),2
Classified,2
"""treated",2
"boyfriend,",2
viene,2
Witness,2
shredding,2
59,2
Aftermath,2
damage,2
water?,2
Haitian,2
belief,2
(so),2
gathered,2
"Fakas,",2
"pilots,",2
"smashin',",2
craps,2
rooms,2
wonderin',2
It?s,2
times),2
(yo),2
adjust,2
foo,2
TLC's,2
(TS),2
em-brace,2
muh'f*cker,2
